Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2013,93203,37,28.6,18+,Kern
2013,93204,24,25.5,18+,Kings
2013,93210,37,24.3,18+,Fresno
2013,93212,85,47.7,18+,Kings
2013,93215,113,31.8,18+,Kern
2013,93219,29,46.9,18+,Tulare
2013,93221,19,19.0,18+,Tulare
2013,93223,40,55.9,18+,Tulare
2013,93230,523,108.6,18+,Kings
2013,93234,12,35.8,18+,Fresno
2013,93235,26,82.7,18+,Tulare
2013,93240,21,60.5,18+,Kern
2013,93241,25,23.6,18+,Kern
2013,93242,12,60.3,18+,Fresno
2013,93245,147,61.4,18+,Kings
2013,93247,45,39.2,18+,Tulare
2013,93250,30,36.3,18+,Kern
2013,93256,15,39.0,18+,Tulare
2013,93257,214,40.1,18+,Tulare
2013,93263,48,36.4,18+,Kern
2013,93267,15,40.6,18+,Tulare
2013,93268,31,22.6,18+,Kern
2013,93270,18,40.9,18+,Tulare
2013,93274,257,52.3,18+,Tulare
2013,93277,144,39.7,18+,Tulare
2013,93280,49,23.3,18+,Kern
2013,93286,25,40.9,18+,Tulare
2013,93291,187,49.5,18+,Tulare
2013,93292,92,30.1,18+,Tulare
2013,93301,125,151.8,18+,Kern
2013,93304,312,86.7,18+,Kern
2013,93305,257,97.9,18+,Kern
2013,93306,216,47.4,18+,Kern
2013,93307,387,69.5,18+,Kern
2013,93308,249,62.8,18+,Kern
2013,93309,221,48.1,18+,Kern
2013,93311,70,22.9,18+,Kern
2013,93312,68,17.4,18+,Kern
2013,93313,103,34.2,18+,Kern
2013,93314,21,13.8,18+,Kern
2013,93401,46,24.1,18+,San Luis Obispo
2013,93402,30,28.1,18+,San Luis Obispo
2013,93405,36,16.5,18+,San Luis Obispo
2013,93420,46,29.5,18+,San Luis Obispo
2013,93422,57,25.6,18+,San Luis Obispo
2013,93433,33,35.9,18+,San Luis Obispo
2013,93436,197,47.7,18+,Santa Barbara
2013,93442,20,21.6,18+,San Luis Obispo
2013,93444,38,32.9,18+,San Luis Obispo
2013,93445,17,31.0,18+,San Luis Obispo
2013,93446,102,31.0,18+,San Luis Obispo
2013,93454,110,39.9,18+,Santa Barbara
2013,93455,85,29.5,18+,Santa Barbara
