Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,91911,318.0,51.0,0,SAN DIEGO
2013,91913,49.0,20.2,0,SAN DIEGO
2013,91914,15.0,17.2,0,SAN DIEGO
2013,91915,29.0,16.2,0,SAN DIEGO
2013,91932,79.0,39.2,0,SAN DIEGO
2013,91941,79.0,29.8,0,SAN DIEGO
2013,91942,103.0,49.9,0,SAN DIEGO
2013,91945,82.0,41.7,0,SAN DIEGO
2013,91950,233.0,55.0,0,SAN DIEGO
2013,91977,204.0,47.1,0,SAN DIEGO
2013,92007,15.0,18.8,0,SAN DIEGO
2013,92008,35.0,13.8,0,SAN DIEGO
2013,92009,30.0,9.8,0,SAN DIEGO
2013,92010,17.0,15.7,0,SAN DIEGO
2013,92011,19.0,10.9,0,SAN DIEGO
2013,92019,80.0,22.8,0,SAN DIEGO
2013,92020,204.0,45.6,0,SAN DIEGO
2013,92021,203.0,44.7,0,SAN DIEGO
2013,92024,42.0,9.7,0,SAN DIEGO
2013,92025,105.0,30.5,0,SAN DIEGO
2013,92026,72.0,18.5,0,SAN DIEGO
2013,92027,111.0,28.0,0,SAN DIEGO
2013,92028,95.0,22.8,0,SAN DIEGO
2013,92029,17.0,11.6,0,SAN DIEGO
2013,92037,31.0,10.0,0,SAN DIEGO
2013,92040,100.0,30.5,0,SAN DIEGO
2013,92054,111.0,36.3,0,SAN DIEGO
2013,92056,100.0,24.4,0,SAN DIEGO
2013,92057,107.0,25.9,0,SAN DIEGO
2013,92058,68.0,35.1,0,SAN DIEGO
2013,92064,60.0,16.1,0,SAN DIEGO
2013,92065,51.0,19.4,0,SAN DIEGO
2013,92069,64.0,20.1,0,SAN DIEGO
2013,92071,126.0,30.1,0,SAN DIEGO
2013,92078,50.0,15.5,0,SAN DIEGO
2013,92081,27.0,12.8,0,SAN DIEGO
2013,92082,25.0,18.5,0,SAN DIEGO
2013,92083,103.0,45.5,0,SAN DIEGO
